iter	Passed	Remaining
1004	29624	29329
1005	29670	29316
1006	29711	29298
1007	29741	29269
1008	29764	29233
1009	29787	29197
1010	29827	29178
1011	29870	29161
1012	29915	29147
1013	29959	29132
1014	29999	29113
1015	30023	29078
1016	30045	29041
1017	30078	29014
1018	30100	28978
1019	30124	28942
1020	30147	28907
1021	30169	28870
1022	30190	28833
1023	30214	28798
1024	30237	28762
1025	30258	28725
1026	30281	28688
1027	30304	28653
1028	30326	28616
1029	30351	28583
1030	30373	28547
1031	30396	28511
1032	30418	28475
1033	30440	28438
1034	30464	28403
1035	30488	28369
1036	30511	28333
1037	30536	28301
1038	30563	28268
1039	30585	28233
1040	30609	28198
1041	30636	28166
1042	30665	28137
1043	30693	28106
1044	30716	28070
1045	30738	28034
1046	30776	28013
1047	30816	27993
1048	30839	27958
1049	30861	27922
1050	30885	27888
1051	30912	27856
1052	30934	27820
1053	30958	27786
1054	30980	27750
1055	31015	27726
1056	31057	27707
1057	31098	27689
1058	31136	27667
1059	31176	27646
1060	31213	27624
1061	31254	27605
1062	31296	27586
1063	31338	27568
1064	31379	27549
1065	31419	27529
1066	31448	27499
1067	31471	27464
1068	31508	27440
1069	31554	27425
1070	31579	27392
1071	31619	27372
1072	31657	27350
1073	31697	27329
1074	31723	27296
1075	31745	27261
1076	31768	27225
1077	31791	27190
1078	31814	27155
1079	31837	27120
1080	31859	27084
1081	31882	27049
1082	31908	27017
1083	31946	26995
1084	31969	26960
1085	31991	26924
1086	32017	26892
1087	32040	26857
1088	32063	26822
1089	32086	26787
1090	32111	26754
1091	32133	26718
1092	32158	26686
1093	32191	26659
1094	32214	26624
1095	32237	26590
1096	32260	26554
1097	32285	26522
1098	32309	26488
1099	32331	26453
1100	32354	26418
1101	32376	26383
1102	32400	26349
1103	32422	26314
1104	32444	26278
1105	32467	26243
1106	32489	26209
1107	32519	26179
1108	32542	26145
1109	32565	26110
1110	32595	26082
1111	32621	26049
1112	32648	26019
1113	32672	25985
1114	32696	25952
1115	32738	25932
1116	32777	25911
1117	32813	25886
1118	32852	25865
1119	32892	25843
1120	32930	25821
1121	32970	25800
1122	32999	25770
1123	33039	25749
1124	33082	25731
1125	33126	25712
1126	33166	25691
1127	33212	25674
1128	33266	25664
1129	33306	25643
1130	33345	25621
1131	33382	25597
1132	33420	25574
1133	33445	25541
1134	33467	25505
1135	33490	25471
1136	33515	25438
1137	33539	25404
1138	33561	25370
1139	33584	25335
1140	33606	25300
1141	33632	25268
1142	33654	25233
1143	33680	25201
1144	33722	25181
1145	33745	25147
1146	33768	25112
1147	33791	25078
1148	33814	25044
1149	33836	25009
1150	33858	24974
1151	33880	24939
1152	33902	24905
1153	33929	24873
1154	33951	24839
1155	33974	24805
1156	33997	24770
1157	34018	24735
1158	34041	24701
1159	34064	24667
1160	34087	24633
1161	34108	24598
1162	34131	24563
1163	34152	24529
1164	34175	24494
1165	34198	24461
1166	34221	24426
1167	34245	24394
1168	34269	24360
1169	34291	24326
1170	34313	24291
1171	34336	24258
1172	34359	24224
1173	34381	24189
1174	34405	24157
1175	34447	24136
1176	34490	24117
1177	34536	24099
1178	34578	24078
1179	34621	24059
1180	34661	24037
1181	34700	24014
1182	34745	23995
1183	34786	23974
1184	34832	23956
1185	34857	23924
1186	34880	23890
1187	34904	23857
1188	34942	23833
1189	34981	23810
1190	35019	23787
1191	35061	23766
1192	35102	23744
1193	35134	23717
1194	35175	23695
1195	35211	23670
1196	35234	23637
1197	35258	23603
1198	35280	23569
1199	35303	23535
1200	35325	23501
1201	35349	23468
1202	35370	23433
1203	35392	23399
1204	35416	23366
1205	35441	23333
1206	35470	23304
1207	35493	23270
1208	35518	23238
1209	35542	23205
